name,source
ARID1A,marker genes
ARID1B,marker genes
ATRX,marker genes
BRAF,marker genes
CIC,marker genes
EGFR,marker genes
FUBP1,marker genes
IDH1,marker genes
IDH2,marker genes
NF1,marker genes
NOTCH1,marker genes
PDGFRA,marker genes
PIK3CA,marker genes
PIK3R1,marker genes
PTEN,marker genes
RB1,marker genes
SOX9,marker genes
TCF12,marker genes
TP53,marker genes
CDK4,glioma (MalaCards)
CDKN2A,glioma (MalaCards)
EGF,glioma (MalaCards)
EGFR,glioma (MalaCards)
MMP2,glioma (MalaCards)
MMP9,glioma (MalaCards)
MMP9,arteriovenous malformation (MalaCards)
PTEN,arteriovenous malformation (MalaCards)
VEGFA,arteriovenous malformation (MalaCards)
EGFR,ependymoma (MalaCards)
GFAP,ependymoma (MalaCards)
MGMT,ependymoma (MalaCards)
EGF,brain cancer (MalaCards)
EGFR,brain cancer (MalaCards)
GFAP,brain cancer (MalaCards)
MGMT,brain cancer (MalaCards)
PTEN,brain cancer (MalaCards)
TP53,brain cancer (MalaCards)
CASP3,medulloblastoma (MalaCards)
CASP8,medulloblastoma (MalaCards)
GFAP,medulloblastoma (MalaCards)
IL13RA2,medulloblastoma (MalaCards)
MGMT,medulloblastoma (MalaCards)
TP53,medulloblastoma (MalaCards)
CDK4,pilocytic astrocytoma (MalaCards)
CDKN2A,pilocytic astrocytoma (MalaCards)
GFAP,pilocytic astrocytoma (MalaCards)
KDR,pilocytic astrocytoma (MalaCards)
MGMT,pilocytic astrocytoma (MalaCards)
PTEN,pilocytic astrocytoma (MalaCards)
CDK4,glioblastoma (MalaCards)
CDKN2A,glioblastoma (MalaCards)
EGF,glioblastoma (MalaCards)
EGFR,glioblastoma (MalaCards)
MGMT,glioblastoma (MalaCards)
PTEN,glioblastoma (MalaCards)
CDK4,melanoma (MalaCards)
CDKN2A,melanoma (MalaCards)
PTEN,melanoma (MalaCards)
PTK2,melanoma (MalaCards)
TERT,melanoma (MalaCards)
TP53,melanoma (MalaCards)
CDK4,glioblastoma multiforme (MalaCards)
CDKN2A,glioblastoma multiforme (MalaCards)
EGF,glioblastoma multiforme (MalaCards)
EGFR,glioblastoma multiforme (MalaCards)
GFAP,glioblastoma multiforme (MalaCards)
IL13RA2,glioblastoma multiforme (MalaCards)
EGFR,brain stem glioma (MalaCards)
H3F3A,brain stem glioma (MalaCards)
TP53,brain stem glioma (MalaCards)
ERBB2,glioma susceptibility 1 (MalaCards)
H3F3A,glioma susceptibility 1 (MalaCards)
HIST1H3A,glioma susceptibility 1 (MalaCards)
IDH1,glioma susceptibility 1 (MalaCards)
IDH2,glioma susceptibility 1 (MalaCards)
TP53,glioma susceptibility 1 (MalaCards)
DMBT1,malignant glioma (MalaCards)
EGFR,malignant glioma (MalaCards)
MDM2,malignant glioma (MalaCards)
MMP2,malignant glioma (MalaCards)
PTEN,malignant glioma (MalaCards)
TP53,malignant glioma (MalaCards)
EGFR,gliosarcoma (MalaCards)
IDH1,gliosarcoma (MalaCards)
MMP2,gliosarcoma (MalaCards)
PTEN,gliosarcoma (MalaCards)
TP53,gliosarcoma (MalaCards)
CCND1,astrocytoma (MalaCards)
DMBT1,astrocytoma (MalaCards)
EGFR,astrocytoma (MalaCards)
IDH1,astrocytoma (MalaCards)
MDM2,astrocytoma (MalaCards)
MMP2,astrocytoma (MalaCards)
CCND1,retinoblastoma (MalaCards)
CDK6,retinoblastoma (MalaCards)
MDM2,retinoblastoma (MalaCards)
TP53,retinoblastoma (MalaCards)
EGFR,oligodendroglioma (MalaCards)
IDH1,oligodendroglioma (MalaCards)
IDH2,oligodendroglioma (MalaCards)
PTEN,oligodendroglioma (MalaCards)
TP53,oligodendroglioma (MalaCards)
EGFR,gliomatosis cerebri (MalaCards)
IDH1,gliomatosis cerebri (MalaCards)
MDM2,gliomatosis cerebri (MalaCards)
PTEN,gliomatosis cerebri (MalaCards)
TP53,gliomatosis cerebri (MalaCards)
EGFR,anaplastic oligodendroglioma (MalaCards)
