name,source
APC,marker genes
BRAF,marker genes
EGFR,marker genes
FBXW7,marker genes
KRAS,marker genes
PIK3CA,marker genes
PTEN,marker genes
SMAD2,marker genes
SMAD3,marker genes
SMAD4,marker genes
SOX9,marker genes
TCF7L2,marker genes
TGFBR2,marker genes
TP53,marker genes
APC,lynch syndrome (MalaCards)
BRAF,lynch syndrome (MalaCards)
CTNNB1,lynch syndrome (MalaCards)
MLH1,lynch syndrome (MalaCards)
MLH3,lynch syndrome (MalaCards)
TP53,lynch syndrome (MalaCards)
APC,familial colorectal cancer (MalaCards)
BRAF,familial colorectal cancer (MalaCards)
MLH1,familial colorectal cancer (MalaCards)
PTPRJ,familial colorectal cancer (MalaCards)
TP53,familial colorectal cancer (MalaCards)
APC,familial adenomatous polyposis (MalaCards)
AXIN2,familial adenomatous polyposis (MalaCards)
CTNNB1,familial adenomatous polyposis (MalaCards)
MCC,familial adenomatous polyposis (MalaCards)
MLH1,familial adenomatous polyposis (MalaCards)
TP53,familial adenomatous polyposis (MalaCards)
APC,hereditary mixed polyposis syndrome 1 (MalaCards)
MLH1,hereditary mixed polyposis syndrome 1 (MalaCards)
APC,mismatch repair cancer syndrome (MalaCards)
CTNNB1,mismatch repair cancer syndrome (MalaCards)
MLH1,mismatch repair cancer syndrome (MalaCards)
APC,adenoma (MalaCards)
AXIN2,adenoma (MalaCards)
BRAF,adenoma (MalaCards)
CTNNB1,adenoma (MalaCards)
MLH1,adenoma (MalaCards)
TP53,adenoma (MalaCards)
APC,familial adenomatous polyposis 1 (MalaCards)
CTNNB1,familial adenomatous polyposis 1 (MalaCards)
BAX,endometrial cancer (MalaCards)
BRAF,endometrial cancer (MalaCards)
CTNNB1,endometrial cancer (MalaCards)
MLH1,endometrial cancer (MalaCards)
MLH3,endometrial cancer (MalaCards)
PIK3CA,endometrial cancer (MalaCards)
APC,breast cancer (MalaCards)
AXIN2,breast cancer (MalaCards)
BAX,breast cancer (MalaCards)
CTNNB1,breast cancer (MalaCards)
EP300,breast cancer (MalaCards)
MLH1,breast cancer (MalaCards)
APC,gastric cancer (MalaCards)
BAX,gastric cancer (MalaCards)
CTNNB1,gastric cancer (MalaCards)
MLH1,gastric cancer (MalaCards)
PIK3CA,gastric cancer (MalaCards)
TP53,gastric cancer (MalaCards)
BRAF,adenocarcinoma (MalaCards)
CTNNB1,adenocarcinoma (MalaCards)
FGFR3,adenocarcinoma (MalaCards)
MLH1,adenocarcinoma (MalaCards)
TP53,adenocarcinoma (MalaCards)
BAX,colon adenocarcinoma (MalaCards)
CTNNB1,colon adenocarcinoma (MalaCards)
MLH1,colon adenocarcinoma (MalaCards)
BAX,ovarian cancer (MalaCards)
BRAF,ovarian cancer (MalaCards)
CTNNB1,ovarian cancer (MalaCards)
MLH1,ovarian cancer (MalaCards)
PIK3CA,ovarian cancer (MalaCards)
TP53,ovarian cancer (MalaCards)
CTNNB1,colorectal adenoma (MalaCards)
MLH1,colorectal adenoma (MalaCards)
TP53,colorectal adenoma (MalaCards)
APC,hepatocellular carcinoma (MalaCards)
BAX,hepatocellular carcinoma (MalaCards)
